# Resistivity Experiment v3.0
# 
# Data Acquisition Unit: Agilent Model 34970A
# Start Time: 1:38:51.915 PM 5/24/2018 ; Start Temp: 298.9860 K
# Time (s)   Temp (K)         R1         R2         R3         R4         R5
  482.7920   298.9510   1128.757   2703.092   5.653389   39409.66   26.89317
  484.2920   298.9500   1128.755   2703.079   5.653706   39409.85   26.89254
  485.7940   298.9510   1128.757   2703.086   5.653073   39410.80   26.89298
  487.3430   298.9480   1128.754   2703.105   5.652883   39409.91   26.89210
  488.7900   298.9480   1128.756   2703.092   5.653263   39410.61   26.89286
  490.2920   298.9490   1128.756   2703.067   5.653263   39411.43   26.89235
  491.7860   298.9480   1128.755   2703.105   5.654023   39410.67   26.89248
  493.2900   298.9500   1128.753   2703.086   5.652693   39410.99   26.89229
  494.7910   298.9500   1128.756   2703.079   5.652503   39410.80   26.89210
  496.2840   298.9490   1128.754   2703.098   5.652820   39410.93   26.89248
  497.7930   298.9490   1128.752   2703.073   5.652883   39411.37   26.89267
  499.2920   298.9480   1128.755   2703.079   5.653199   39412.25   26.89248
  500.7920   298.9490   1128.753   2703.111   5.653517   39411.75   26.89229
  502.2900   298.9480   1128.753   2703.092   5.653199   39412.44   26.89241
  503.7920   298.9490   1128.755   2703.098   5.653390   39413.32   26.89210
  505.2920   298.9500   1128.752   2703.111   5.653137   39412.95   26.89279
  506.7920   298.9480   1128.754   2703.079   5.653516   39412.50   26.89260
  508.2840   298.9480   1128.753   2703.105   5.652883   39412.50   26.89305
  509.7930   298.9480   1128.754   2703.073   5.653896   39413.39   26.89267
  511.2920   298.9490   1128.752   2703.111   5.653896   39413.45   26.89235
